
=== Placas com data 20/06/2026 ===
Total de placas v├ílidas na planilha: 235
Com dados insuficientes: 0

=== ATEN├ç├âO: 4 placas t├¬m inspe├º├Áes duplicadas ===
DYC9G10: 2 inspe├º├Áes (LANCADO(NF:5835), EMITIDA(NF:5835))
EGP7854: 2 inspe├º├Áes (LANCADO(NF:5833), LANCADO(NF:5852))
BRY7J69: 2 inspe├º├Áes (LANCADO(NF:5827), LANCADO(NF:5827))
DYN6E82: 2 inspe├º├Áes (LANCADO(NF:5811), EMITIDA(NF:5811))

=== RESUMO DO BANCO ===
Emitidas/Lan├ºadas: 152
Erro: 0
Processando: 1
Fila: 82
Aguardando: 0
N├úo encontradas no banco: 0

--- Emitidas/Lan├ºadas ---
BHF2D24 | AGUARDANDO | NF:  | Job: FILA
FMP0E98 | AGUARDANDO | NF:  | Job: FILA
DFZ7733 | AGUARDANDO | NF:  | Job: FILA
CTE5J08 | AGUARDANDO | NF:  | Job: FILA
DVG0A69 | AGUARDANDO | NF:  | Job: FILA
GIX2D20 | AGUARDANDO | NF:  | Job: FILA
GES7A17 | AGUARDANDO | NF:  | Job: FILA
GSG40 | AGUARDANDO | NF:  | Job: FILA
BRE2E20 | AGUARDANDO | NF:  | Job: FILA
EOU6I32 | AGUARDANDO | NF:  | Job: FILA
DXN4874 | AGUARDANDO | NF:  | Job: FILA
HND7F14 | AGUARDANDO | NF:  | Job: FILA
DJC1899 | AGUARDANDO | NF:  | Job: FILA
GEX1D20 | AGUARDANDO | NF:  | Job: FILA
ERF3J55 | AGUARDANDO | NF:  | Job: FILA
KYV7768 | AGUARDANDO | NF:  | Job: FILA
CKV5F70 | AGUARDANDO | NF:  | Job: FILA
BXZ7F10 | AGUARDANDO | NF:  | Job: FILA
EOF7E19 | AGUARDANDO | NF:  | Job: FILA
FZN2I91 | AGUARDANDO | NF:  | Job: FILA
GDK8C37 | AGUARDANDO | NF:  | Job: FILA
FYV5J86 | AGUARDANDO | NF:  | Job: FILA
FNZ5B26 | AGUARDANDO | NF:  | Job: FILA
DJG6G00 | AGUARDANDO | NF:  | Job: FILA
DIF4G13 | AGUARDANDO | NF:  | Job: FILA
HFU9H17 | AGUARDANDO | NF:  | Job: FILA
NAB3488 | AGUARDANDO | NF:  | Job: FILA
DAO8131 | AGUARDANDO | NF:  | Job: FILA
DAO8132 | AGUARDANDO | NF:  | Job: FILA
TJA1B48 | AGUARDANDO | NF:  | Job: FILA
DLV3A31 | AGUARDANDO | NF:  | Job: FILA
DTH1C45 | AGUARDANDO | NF:  | Job: FILA
